,file_name_1,category_new
0,0,日式
1,1,日式
2,2,日式
3,3,日式
4,4,日式
5,5,日式
6,6,日式
7,7,日式
8,8,日式
10,10,日式
11,11,中式
12,12,日式
13,13,日式
14,14,日式
15,15,台灣小吃/熱炒店
16,16,日式
17,17,台灣小吃/熱炒店
18,18,日式
19,19,日式
22,22,台灣小吃/熱炒店
23,23,日式
24,24,日式
26,26,台灣小吃/熱炒店
27,27,日式
29,29,中式
30,30,台灣小吃/熱炒店
31,31,台灣小吃/熱炒店
32,32,中式
33,33,中式
34,34,中式
35,35,日式
37,37,中式
38,38,台灣小吃/熱炒店
40,40,中式
41,41,日式
42,42,中式
43,43,日式
44,44,中式
45,45,日式
47,47,中式
48,48,中式
49,49,日式
50,50,中式
52,52,台灣小吃/熱炒店
54,54,台灣小吃/熱炒店
57,57,台灣小吃/熱炒店
58,58,台灣小吃/熱炒店
59,59,中式
60,60,素食
61,61,日式
65,65,火鍋
66,66,台灣小吃/熱炒店
67,67,日式
69,69,中式
70,70,台灣小吃/熱炒店
72,72,台灣小吃/熱炒店
73,73,台灣小吃/熱炒店
74,74,日式
75,75,中式
76,76,早午餐
77,77,台灣小吃/熱炒店
79,79,台灣小吃/熱炒店
80,80,中式
81,81,火鍋
82,82,火鍋
83,83,火鍋
84,84,火鍋
85,85,火鍋
86,86,火鍋
87,87,火鍋
88,88,火鍋
89,89,火鍋
90,90,火鍋
91,91,火鍋
92,92,火鍋
93,93,火鍋
94,94,火鍋
95,95,火鍋
96,96,火鍋
97,97,火鍋
98,98,火鍋
101,101,火鍋
102,102,火鍋
104,104,火鍋
105,105,火鍋
106,106,火鍋
107,107,火鍋
108,108,火鍋
109,109,火鍋
110,110,火鍋
112,112,火鍋
113,113,中式
114,114,火鍋
115,115,火鍋
116,116,火鍋
117,117,火鍋
118,118,火鍋
120,120,火鍋
121,121,火鍋
122,122,台灣小吃/熱炒店
123,123,火鍋
124,124,火鍋
126,126,火鍋
127,127,火鍋
128,128,火鍋
129,129,火鍋
130,130,火鍋
131,131,火鍋
132,132,火鍋
134,134,火鍋
135,135,中式
136,136,火鍋
138,138,素食
142,142,咖啡甜點
144,144,台灣小吃/熱炒店
146,146,中式
147,147,火鍋
148,148,火鍋
149,149,台灣小吃/熱炒店
151,151,火鍋
152,152,日式
153,153,中式
154,154,台灣小吃/熱炒店
155,155,素食
156,156,燒烤店
159,159,中式
161,161,台灣小吃/熱炒店
162,162,異國料理
163,163,素食
164,164,台灣小吃/熱炒店
165,165,素食
166,166,台灣小吃/熱炒店
169,169,中式
170,170,中式
171,171,南洋
173,173,日式
174,174,日式
175,175,日式
176,176,日式
178,178,日式
179,179,日式
181,181,台灣小吃/熱炒店
182,182,日式
183,183,日式
184,184,日式
185,185,日式
186,186,日式
188,188,日式
189,189,日式
190,190,日式
194,194,日式
196,196,異國料理
198,198,台灣小吃/熱炒店
200,200,台灣小吃/熱炒店
203,203,台灣小吃/熱炒店
204,204,台灣小吃/熱炒店
205,205,素食
207,207,日式
210,210,美式
211,211,早午餐
212,212,南洋
213,213,咖啡甜點
215,215,中式
216,216,咖啡甜點
217,217,咖啡甜點
219,219,台灣小吃/熱炒店
220,220,台灣小吃/熱炒店
223,223,咖啡甜點
224,224,咖啡甜點
225,225,中式
226,226,咖啡甜點
227,227,南洋
228,228,咖啡甜點
229,229,美式
230,230,美式
231,231,早午餐
233,233,美式
234,234,美式
235,235,早午餐
237,237,咖啡甜點
238,238,早午餐
239,239,早午餐
240,240,早午餐
242,242,早午餐
246,246,意式
249,249,早午餐
250,250,早午餐
256,256,早午餐
259,259,早午餐
261,261,早午餐
262,262,咖啡甜點
263,263,咖啡甜點
264,264,早午餐
265,265,台灣小吃/熱炒店
266,266,早午餐
268,268,早午餐
270,270,早午餐
272,272,早午餐
273,273,異國料理
274,274,早午餐
275,275,咖啡甜點
276,276,早午餐
278,278,早午餐
279,279,咖啡甜點
280,280,中式
283,283,中式
284,284,中式
285,285,咖啡甜點
286,286,咖啡甜點
288,288,咖啡甜點
290,290,韓式
291,291,韓式
292,292,日式
293,293,台灣小吃/熱炒店
294,294,韓式
295,295,韓式
296,296,韓式
297,297,韓式
298,298,韓式
299,299,韓式
300,300,韓式
301,301,韓式
302,302,韓式
303,303,韓式
304,304,韓式
305,305,韓式
306,306,韓式
309,309,韓式
311,311,韓式
312,312,韓式
314,314,韓式
315,315,韓式
316,316,韓式
317,317,燒烤店
318,318,韓式
319,319,韓式
320,320,韓式
321,321,韓式
322,322,韓式
323,323,中式
325,325,台灣小吃/熱炒店
326,326,台灣小吃/熱炒店
327,327,台灣小吃/熱炒店
328,328,中式
329,329,台灣小吃/熱炒店
330,330,台灣小吃/熱炒店
331,331,台灣小吃/熱炒店
333,333,異國料理
334,334,異國料理
335,335,異國料理
337,337,異國料理
338,338,異國料理
339,339,異國料理
340,340,異國料理
341,341,異國料理
342,342,異國料理
344,344,異國料理
345,345,異國料理
346,346,異國料理
347,347,異國料理
348,348,異國料理
349,349,異國料理
350,350,日式
