,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Sam Lin,5,7 小時前,"純素鹽酥雞很好吃！猴頭菇的口感很紮實

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
1,chiang chang,5,1 週前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
2,Isaac Ying-hau Wu,4,1 週前,"中規中矩，水果沙拉水果很多令人印象深刻

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
3,FayAi緋愛,4,1 週前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
4,AY R,5,1 週前,"東西好吃

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
5,BTS ARMY,5,1 週前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
6,吳根糧,4,2 週前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
7,李慧真,5,3 週前,"很喜歡餐點好吃

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
8,江杏如,5,3 週前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
9,yoyo ning,3,3 週前,"義大利麵醬汁很濃郁，堅果類給蠻多，但菇的存在感有點低~臭豆腐麵所謂的拉麵有點像泡麵，跟預期不太一樣，吃不習慣湯汁，不過豆腐算有入味，微辣；炸豆腐給的不是泡菜，有點可惜

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
10,吳沛蓁,5,3 週前,"餐點好吃！平日中午就客満，點了臭豆腐、未來肉鐵板麵（黑胡椒醬很辣！）、叻沙湯麵（湯頭濃郁）推薦

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlDZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
11,蕭波妞,5,4 週前,"素食餐點：點了義大利麵和南详叻沙火鍋，都是新鲜食材做的，沒有素料。非常健康的蔬食料理！也是寵物友善餐廳喔！

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlDZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
12,Monika Kaczmarek,5,4 週前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlDZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
13,李權峰,5,4 週前,,2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlDZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
14,chen yian,5,4 週前,"北投素食的好地方

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlDZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
15,Joseph Lai,3,1 個月前,"這家餐館屬簡餐性質，每份餐點約1至2百元之間，重口味，接近素食，若能減少調味添加，保留食物本身原有味道，較能符合我的需求。

",2022-11-30,"https://www.google.com/async/reviewSort?yv=3&async=feature_id:0x3442ae56e794a76f:0x8ad75dbf2d382ec7,review_source:All%20reviews,sort_by:newestFirst,is_owner:false,filter_text:,associated_topic:,next_page_token:CAESBkVnSUlDZw==,_pms:s,_fmt:json",0x3442ae56e794a76f:0x8ad75dbf2d382ec7
