,verse_text,label
0,炙燒鮭魚丼好吃！除了味道很好之外也非常飽滿紮實，點單之後會附上一晚味噌魚湯~,5
1,北投區餐廳 這家是數一數二的差，服務爛，食物總比其他的份量要少， 跟其他麥當勞水平不同,1
2,吃了好幾年，最近發現沒蒜泥。   水餃10顆，煮破4顆...      嗯.....決定以後去隔壁吃了,1
3,三個小菜（兩樣豆乾兩樣青菜）一片小魚（正方形的而已）總共直接160，乾脆去吃餐廳比較划算,2
4,咖哩不錯吃   但CP值真的不高   吃完後還是不知道為何要花兩百多塊   如果打個75折或許比較願意再來      從配湯是「加了奶油與菇的清湯」來看   老闆手藝或許不錯，但似乎不太懂得經營   要怎麼在低價競爭激烈的政大商圈存活   真為老闆擔心,3
5,平價好喝的咖啡，店員親切，店貓友善,4
6,跟宜蘭的還是有差，料沒宜蘭多，且湯包皮的封口包的明顯比較厚，只能說是類宜蘭正常鮮湯包。內用用餐環境有股味道，可能是跟廚房連一起的關係，看來用餐的大部分是點便當而不是湯包,2
7,吃阿信從小吃到大的冰 老字號北極熊綿綿冰 cp值高,4
8,一間可以滿足各種想吃，卻主打水煎包的店   有賣麵食，乾麵、鍋燒意麵、豬肝麵   也有賣飯，魯肉飯、咖哩飯   還有鮮肉、高麗菜、韭菜等口味的水煎包   要喝飲料也有豆漿可以選擇(無糖也有喔!)      今日餐點：水煎包、乾麵、無糖豆漿   水煎包表現剛好，鮮肉有湯汁，卻不會有豬肉的腥味   乾麵麵條很彈芽，簡單但意外的非常好吃   無糖豆漿偏水，但剛好可以解一點油膩      走過路過可以來這邊吃吃看唷~算是俗又大碗的選項！   #嚮導澎不負責任介紹,4
9,"Since 1978, Professional and Very Best Beef Noodle Soup in Taiwan. 專業的牛肉麵店，只賣牛肉麵、牛肉湯、湯麵、牛肉泡飯，沒有別的主食。小碗（＄１００）份量就很夠了，【不能加湯】（付錢也沒有）（可以單點牛肉湯，＄１４０），中碗＄１２０，大碗＄１４０。清爽好喝的湯頭，細麵與拉麵兩種選擇，麵體Q彈不爛，五塊大於 1+cm x 1+cm x 3+cm 的牛肋條用料很好，也入味，非常好吃，可以說是示範級的滿百組合！辣渣很香，但卻不搭！酸菜很好吃，但直接加麵裡會比較鹹，而且加太多時酸菜味會蓋掉原先無敵好喝的湯、可惜了這麼好的湯頭。紅辣椒醬只適合沾小菜，加麵裡就毀了！小菜多樣，但一小盤就$30，還好牛肉麵好吃便宜。附近停車不易，連機車都很難停！很好吃，會想再來。  ",4
10,超好吃炸豆腐和甜不辣，還有辣椒！,5
11,以後不會再去這裡吃了，連續第三年在這辦生日聚餐，就是因為之前用餐感受非常棒，但昨天徹底的失望了，花了錢又沒面子。   打電話去訂桌時跟我說有母親節的優惠桌菜，是1萬左右的水準菜色，因為之前真的很喜歡這裡，所以二話不說就訂了，上了第一道菜我就覺得掉漆了，大概像九孔的東西以外放了一堆水果生菜，後來佛跳牆還請服務員再幫我們拿去多蒸一下，其他不多說，吃不飽後來加點蘿蔔糕，店員竟然回我說，這樣還要煎耶.... 最後我再要一盤花生，回我說，你們已經結帳了(雖然還是有給我) 我消費破萬耶，要一盤花生需要這樣回我嗎   請你們加加油吧！！,1
12,為何今天沒營業 沒有改google設定 害客人白跑一趟呢,2
13,特殊餐點：看老闆再製作整個米腸解體香菜2片葉子，最後把配料全部塞進去，原本可口最後變成....（我在旁邊看ㄟ那有多加料，香菜別人的不只2片葉子...,2
14,超好吃的日式咖哩，不是亂勾欠加分粉到那種，已經吃了十年了,5
15,平價美味，外帶點餐要有點耐心，內用上餐會快一些，店內人員少口氣會比較直接，大家要互相體諒！,4
16,點兩碗燒仙草，料很多熱呼呼的很不錯，以後會再嘗試別的品項,4
17,Cp值很高的一家店，咖啡如果用同價位等級來比，打趴一整排；輕食也很不錯，貝果很有誠意，十分飽嘴，想吃巧的也能點蛋沙拉盒子，吃習慣後，天天都會想來報到 。,5
18,雞排實在，米腸口感稍脆不錯，蘿蔔糕吃的出淡淡的九層塔香。整體讓我很滿意。,4
19,等了15分鐘 有待加強⋯中午很忙沒錯⋯可是我看到比我晚來的人都先拿走⋯人客氣 我體諒辛苦啦⋯但便當盒一打開我看到的是有點爛爛的還破掉的鍋貼我心情就不太美麗了⋯店家多加油啊⋯之前煎的比較漂亮酥脆⋯,2
20,走味了      現在排名第一的基隆包子      最愛了      以前常買木柵的      皮真的很詭異   內陷一樣好吃      但跟皮搭配非常詭異,3
21,食物不錯，副餐綠茶也好喝，就是有點吵。,3
22,餐點值4顆星，點了九層塔蛋餅～很好吃 ，美式套餐組合份量足，飲料也不錯！本打算悠閒一下坐久一點，但室內空調不涼！感覺有點悶～如能改善～定會時常光顧…,3
23,蛋餅有點乾，奶茶還不錯，不會很甜。   一樣是內用，有些人給內用杯，有些人外帶杯。   要用外帶杯建議先說。,3
24,食物美味可口，地方整潔舒適，老闆、老闆娘和藹可親。整體CP值超高，早上能吃得到這麼好吃的一餐，真的感覺好幸福喔！謝謝～,5
25,透明廚房，帶有乾淨的用餐區。需要純白粥的人的首選。接受現金和EasyCard。,4
26,上菜很快，桌邊服務很好，有來不及看名牌的戴眼鏡男店員幫忙撥天使紅蝦的殼，最後還有女店員小河幫忙烤麻糬～可惜飲料機不冰，啤酒有兩款沒有冰～,5
27,物超所值，風景優美，附近也有步道可以走走，值得一去唷！,5
28,用餐環境乾淨整齊、老闆待人客氣有禮、餐點清淡不油膩、米粉湯可以續湯續米粉，吃完不會口乾舌燥。唯一的缺點大概就是小菜的份量較少，但仍瑕不掩瑜。推薦!!!,4
29,櫃檯服務態度非常差，食物很普通而且偏貴。排骨拍得非常扁，很好奇到底成本多少，要嘗試的人，要有心理準備。,1
30,梅酒很好喝我喜歡，還有貼心試喝,5
31,黑米飯一小部份沒有熟透,2
32,"一般般的口味但不一般的價錢，是不是道地北方口味就不討論了（口味當然不道地，但要融入本地口味做些調整也是無可厚非，所以口味就不談了），但食材本身都不優呀，水煮牛的牛還沒港式燒臘牛河的牛嫩，孜然羊更是柴啊，涼粉拌了醬也沒什麼味道，罈子肉（紅燒肉）也沒煮軟一點，醬牛肉味道還沒老媽北方麵食館牛肉捲餅的牛肉好吃，香酥鴨跟口水雞就更....，除了多口味的水餃跟雜醬麵這些麵點還不錯, 其餘功夫菜都沒有什麼功夫。   推 松花皮蛋豬肉水餃跟老滿大拌菜。家人說西紅柿疙瘩湯不錯。      在中信大樓旁邊那棟的二樓（一上二樓就會看到），走外面的樓梯爬上去也可以到，地下室有停車場。  ",2
33,好吃、辣椒夠辣，只是價格稍貴且衛生有待加強,3
34,服務超棒的捏      但是門口在整修，剛找了好久才發現入口在旁邊的後門,5
35,要用手機點餐。平價的義大利麵，餐點口味一般。門口水溝有臭味會飄入店內。上菜服務態度客氣。,3
36,2022/11/25中午到店消費，店員態度不佳，保存方式都沒有告知，口氣像趕客人一樣。   我購買兩盒，應該要告知吧？！,2
37,料好、味美、大碗，胃口不大的人可以吃飽，老闆待客客氣，價格還可以，是有CP值的店,4
