,verse_text,label
0,overrated，烤肉雙拼（五花松阪）豬腥味很重，端上桌就聞得到，松阪薄切缺乏口感，小菜的泡菜好吃。,2
1,外帶紅棗蓮子湯$80只有一般外帶裝飯的小碗半碗，份量少到傻眼之外，味道還非常普通！！   櫃檯人員的服務態度就不討論了...   相較之下美食街口紅豆食府的便當攤、cp值就比較高！賣便當的小姐也很友善，所以給兩顆星。,2
2,餐點很ok，服務很差。   上主菜+高麗菜續一次後整整30分鐘沒再有服務生理。只有聽到女服務生在別桌跟客人（應該是朋友）喊 “你要請我喝飲料”。 沒有服務生來，什麼小菜還是飯或湯可以無限續都只是屁！如果客人太多，我可以理解。但座位連四分之一滿都沒有!,2
3,服務親切.餐點好吃環境很棒.還有現場演唱.約會的好去處,5
4,好心小聲告知之前他們在橋上的店，炸出的臭豆腐都沒有味道，好像拜過的食物，我們都點大辣和中辣，好像味道被吸掉了，現在這個地點就正常了，還嗆聲說是天氣的關係，豆腐發酵不夠，我夏天有買也，老闆還說我在那邊生意比較好，而且我們明明是好心稱讚現在很好，所以我就回說那是好。。們幫你們招來的，只有一個新的弟弟態度比較正常，東西現在是很好吃，份量也足，可是態度是不是讓人失望，這是有被迫害妄想嗎？明明很開心的想說偷偷地跟老闆說，鼓勵一下，換個地點會更好，都說不下去了，以上僅代表個人意見。,1
5,外觀可愛，但包裝、菜單設計和外觀有落差，份量大一定吃得飽，燒肉口味過鹹（醬油味很濃）、鮭魚口味胡椒味太重、非常微量的鮭魚混在飯中沒什麼味道，米飯感覺用的是台灣米加醋，不要期待是日式飯糰的味道，但也不是台灣傳統飯糰，是個綜合體。,2
6,不錯吃早餐店。   服務周到 客氣。,4
7,價樸實料實在，附近素食者的好去處。,4
8,分量夠，特別適合食量大的男生。,4
9,老字號，但是吃起來沒有驚艷感   也缺多元支付…,3
10,我們是吃666吃到飽.不知道是否是因為是吃到飽.第一輪點菜時服務人員建議不要點太多.先點一些吃完再點.我們很欣然的接受了.但是等要再點時 貴店一位胖胖臉超臭小姐，東西送來時臉就超臭.然後我們告知要再點餐時她理都不理 裝沒聽到.就算我們跟她道謝 她也是臭臉.彷彿我們欠她蠻多錢的.希望貴店能注意一下.服務態度真的很不好.再說有一道芋頭紫米粥是酸掉了.服務人員收走後.就沒下文了.湯圓怎麼會沒有半點Q度呢?茶水沒了請服務人員添加.直到我們離開那空的茶壼還是在桌上沒人來．在網上看到很多人誇．不理解是只有貴店是這樣的嗎？,2
11,焦糖鮮奶茶   ：一杯80元      完全沒調整甜度，還去冰（去冰會有小一點小冰塊）   還是好淡 好難喝      以為是自己味覺有問題   請友人喝看看…只得到「真的很難喝」      完全沒焦糖味      甜味也非常低,1
12,沒味道，一定要加很多辣才勉強入口；裝碗的台面也弄得很髒，零錢鈔票有時都會散在桌上。不如多走幾分鐘去吃阿家麵線          沒味道，一定要加很多辣才勉強入口；裝碗的檯面也弄得很髒，零錢鈔票有時都會散在桌上。不如多走幾分鐘去吃阿家麵線,1
13,蛤蜊越來越小顆，內用也使用免洗碗，製造一次性垃圾，很不應該,1
14,人生中吃過最好吃的涼麵不為過，麵非常Q彈有勁，醬也調的非常好，配上味噌蛋湯簡直完美。,5
15,一顆星都不想給的說不出話來...！牛肉整盤上桌嚇到我！冰到乾裂粗糙...！設計吧檯，卻沒服務加湯？要自個下桌去醬料區提湯壺，說到醬料區也傻眼！青蔥末是冷藏好幾天重複使用嗎！副餐的白飯！很怕吃一口踩一次地雷（有乾硬的米），是給白飯吹冷氣嗎？我真的沒吃過這麼不專業的200元刷刷鍋...！真的有一次沒下次的懊惱！,1
