,verse_text,label
0,最喜歡這家店的田園蔬菜粥。,5
1,來自重慶的老闆很親切，煮出來的味道也很正宗！,5
2,臉可以在臭一點臭到你阿嬤都不認得   奶茶喝起來像水 珍珠咬起來像石頭   請改善,1
3,價樸實料實在，附近素食者的好去處。,4
4,咖喱非常鹹   200g的肉量完全不夠   其他零零碎碎的品項也都需花費   基本上不會再來了,1
5,在外送平台上點餐等超級久4:50分下單6:00才好   一顆星都不想給,2
6,通常都買   南瓜大餅50元，買一份當早餐份量超充足   紅豆餅30元，買一份當早餐或點心可果腹   豆漿20元一杯，普通   在附近商辦大樓上班，路過買一份快速方便   此外有買過韌餅50元一次，基本上就是蔥油餅，不推薦,4
7,蝦子不新鮮 很臭 擺盤都一個發黑的青菜葉就上來   完全沒用心,1
8,等很久 比我們晚來的都已經好了 而且吃完走了 我們的還沒做…,2
9,價格平實，鍋燒麵湯頭清甜，搭配的料蠻多樣，但冷凍魚片、黑輪跟鍋燒麵不太搭，如果換成新鮮的食材(菇類、花枝)會更好,3
10,菜品略超所值，飯也煮得不錯！   可惜京醬肉絲調味不對、肉絲太碎，雖然好吃，但恐怕與京醬肉絲四字偏差甚大,4
11,服務100分，煙燻鮭魚班尼迪克蛋、海鮮考伯沙拉、牡羊人蛋捲精緻好吃，巧克力巧克力巧克力布丁的三種巧克力吃得出是高級巧克力製作的，但稍膩口，煎餅也稍普通，價格顯高了些，但是整體來說還是非常棒的一次用餐經驗。   記得提早線上訂位哦！因為要等超久的。,5
12,沒有隔板 桌距很近 旁邊的人一直不斷在咳嗽跟清喉嚨 只想快點吃完閃人,3
13,菜飯沒有菜，偏油，飯的口感也不佳,1
14,等了半個小時，得到一些冷薯條，不滿意。,1
15,吃了這樣多年，份量多又好吃。,4
16,店裡空間不大 服務親切 餐點份量足 漢堡的肉排煎的剛剛好,4
17,冰好吃，但營業時間不太固定。,4
18,價格過高的菜單和啤酒。奶酪棒和酸奶油太可怕了。搖擺不定的桌子和煩人的顧客。工作人員必須關注數量和 Covid-19 限制。黑暗的氛圍。,1
19,完全不理解評價為什麼那麼高   麵是非常一般的150塊義大利麵會有的口感   青醬不夠細緻吃到後來很膩   氛圍也非常普通   只是一家很普通的小店   不是說很難吃 只是真的不理解4.7在哪,2
20,火龍蛋包蠻吸睛的，不過咖哩跟肉的部分個人覺得普通。,3
21,動線亂七八糟，一張單子分素跟葷   今天跟同事去買我點葷他點素一起交給櫃台   結果等了40分鐘以上只拿到葷食，還說你怎麼沒有放一起，哈囉我是一起給的好嗎   在等到13:00差不多拿到全部的餐點   點了   至於餐點不難吃但cp值低,2
22,初訪   之前喝過八德路小巨蛋附近的兩間，印象還不錯。   這次點蜂蜜四季青（去冰）、紅茶（微糖、去冰）$80，刷line pay，電子發票刷載具。   電子發票存載具記得提早跟店員說一下，可以使用許多電子支付方式，蠻方便的！   這次還發現時環保杯示範店舖！,4
23,分量夠，特別適合食量大的男生。,4
24,老闆好像有點不愛賺錢，2次去買都撲空了,3
25,看不出便當有值這麼高貴的價錢,2
26,必須說 價錢真的如上面的評價所說 不可愛   但食物真的蠻好吃的！   烏龍麵表現得比很多台式日料店優   醋洋蔥、手捲、烤串都很棒！   味僧湯認真覺得還好   老闆娘很親切,4
27,店員人很好很熱情，但完全不會幫忙安排位子。就是自顧自的事。   本身對中年男性有點陰影，獨自一人去的，不喜坐高腳椅於是坐了矮的椅子，突然一群中年大叔走進，並自動坐到了我的對面，令我感到十分不舒服，大叔們進而直接將其他桌子併過來，真的十分令人作噁。店家看到也視若無睹，裝作沒看到的樣子，也不會詢問我是否接受併桌坐。   一大早的胃口都沒有了，完全不在意顧客的用餐品質，店家只會顧及熟客，請想獨自一人去的嘗試的斟酌考慮，去了一次感受真的非常之差。不會再次二訪！,3
28,"鮮蝦干貝白酒義大利麵附紅茶一杯,還不錯吃,下次要試別的餐點,種類很多樣  ",4
29,建議打電話點餐   過10幾分鐘再去取餐   不然人多的時候會等到懷疑人生,3
30,老闆很親切喔！   用餐環境也乾淨，料理也不錯！   值得推薦   哇...........   佛跳牆，佛跳牆，真的佛跳牆了啦！   好吃沒話說了！大推..大推......,5
31,天花板很低，壓迫感無法不在如影隨形！,3
32,店員人不錯 周邊也可愛 飲料有些不錯喝有些很地雷 比例大概6比4 唯一比較希望改進的 是店的排隊制度 尤其建議要參加熱門作品的粉絲最好等1-2個星期後再來 會比較好排 不然白跑一趟的機率蠻高的,3
33,吃到令人火大   在這邊只推薦給「第一次」、沒嘗試過任何「無菜單」、「鐵板燒料理」的人。      1.幾乎所有食材都是現成的，只是拿來加熱，甚少有料理直接在鐵板上完成。      2.上菜速度偏慢，會先服務有加價升級的客人，未加錢的客人至少慢上5-10分鐘，讓人覺得有差別待遇。      3.擺盤>食材，適合網美，完全吃不飽。      呼籲大家要去吃的三思,1
34,玉米是酸的…整晚飯都變的有酸味…所以是吃還是不吃 ‍♂️ ‍♂️ ‍♂️,1
35,吃到一半桌上有小蟑螂爬過…   衛生急需改善！,1
36,乾淨的用餐環境 新穎的Logo設計設計   讓小吃店 整個煥然一新 跳脫傳統路邊攤的裝潢   透過媒體介紹 新創的純發滷肉飯 成為拜訪目標   營業時間16:00-23:30   店面不大 座位16個 很容坐滿   開車的朋友 要有心理準備不太好停車 附近有收費停車場 都需要走一小段路 才能抵達   騎摩托車 還是比較方便      外帶直接在櫃檯點餐付款 等店家叫號即可   內用直接在點餐櫃檯點 再去找座位 或是先找座位 在來點餐都可以 付款後 店家準備好餐點   回請消費者自行到櫃檯領取 端到座位   用餐完畢後 也是自行將餐盤放回回收區   餐點的燙 滷汁不夠 都可以加   點湯 可以+10 購入一碗小的滷肉飯      本次點了 剝皮辣椒 滷肉飯 滷大腸頭   個人評論如下：   1.剝皮辣椒： 辣椒辣味夠味 雞肉偏軟爛的口感 是一咬就會化掉的感覺 連雞骨頭都軟爛 湯品還算一般水準左右   2.滷肉飯：滷肉微甜 整體伴入米飯食用後 會發現沒有味道 感覺還是吃有顏色的白飯 和印象中的滷肉飯似乎有一段差距 個人覺得不太適合我的口味 這滷肉飯 真的有點失望   3.滷大腸頭：淋上店內的滷汁 大腸頭吃起來沒有Q彈 有嚼勁的感覺 還是和自己印象中的大腸口感 有一點差距      整體而言 純發滷肉飯個人不推薦   要讚賞的是店家服務態度 還有用餐環境   可餐點的部分 不是符合我的口味 不推薦   個人覺得 是屬於味道偏淡滷肉飯   湯品也不到特別突出 令人驚豔的感覺   個人有嘗過一次味道即可   大家還是可以來試試 會許會符合其他人的口味,3
37,內用環境吵雜 出餐順序令人好奇   一樣點海鮮火鍋 排在後面的人都拿到了 我們問了送餐的人員 也只得到不回頭的 好好好 態度很敷衍   滑蛋蝦仁燴飯 味道一般般 蝦仁很多 整個份量也足夠 我是不信需要做這麼久啦 等了三十分鐘才吃到   整個用餐體驗很不愉快 氣到胃口都沒了,1
38,好吃！經常搭車過去吃。   但是就在我等外帶的時候目睹到師傅面對煮麵鍋的刀削麵技之際，師傅居然失手削飛了一條麵條掉在地上，然後又毫不思索的回頭過來撿起地上麵條直接丟入鍋裡煮.....噁~~,1
