0,https://www.google.com.tw/maps/place/%E4%BE%AF%E9%BB%91%E9%8D%8B%E7%89%A9+%E9%85%B8%E8%8F%9C%E5%B0%8F%E7%81%AB%E9%8D%8B+Ho+Hey+Hot+Pot/data=!4m7!3m6!1s0x3442a94cf9464049:0xbb59e6a62199679f!8m2!3d25.0537444!4d121.5311369!16s%2Fg%2F11jyh2hmv0!19sChIJSUBG-UypQjQRn2eZIabmWbs?authuser=0&hl=zh-TW&rclk=1,侯黑鍋物 酸菜小火鍋 Ho Hey Hot Pot,4.9,火鍋餐廳,49,, 104台北市中山區四平街19號,Plus Code: 3G3J+FF 中山區 台北市,1,1,0,0,星期二、11:00 到 15:00、17:00 到 21:30; 星期三、11:00 到 15:00、17:00 到 21:30; 星期四、11:00 到 15:00、17:00 到 21:30; 星期五、11:00 到 15:00、17:00 到 21:30; 星期六、11:00 到 15:00、17:00 到 21:30; 星期日、11:00 到 15:00、17:00 到 21:30; 星期一、11:00 到 15:00、17:00 到 21:30. 隱藏本週營業時間,https://www.facebook.com/HoHeyHotPot, 02 2567 7889,,2022-11-29
0,https://www.google.com.tw/maps/place/%E4%B8%80%E6%B1%9F%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a9672d4b0879:0xd311e4bcc0b5048d!8m2!3d25.0533335!4d121.5312932!16s%2Fg%2F1thq2_df!19sChIJeQhLLWepQjQRjQS1wLzkEdM?authuser=0&hl=zh-TW&rclk=1,一江公園,3.9,公園,823,, 10491台北市中山區一江街,Plus Code: 3G3J+8G 中山區 台北市,0,0,0,0,星期二、24 小時營業; 星期三、24 小時營業; 星期四、24 小時營業; 星期五、24 小時營業; 星期六、24 小時營業; 星期日、24 小時營業; 星期一、24 小時營業. 隱藏本週營業時間,, 02 2585 0192,,2022-11-29
0,https://www.google.com.tw/maps/place/%E4%BB%A5%E5%8B%92%E5%BB%9A%E6%88%BF/data=!4m7!3m6!1s0x3442abd7ca199beb:0x7afa2d395d38a56d!8m2!3d25.0607675!4d121.5393944!16s%2Fg%2F11fnrq5333!19sChIJ65sZyterQjQRbaU4XTkt-no?authuser=0&hl=zh-TW&rclk=1,以勒廚房,4.0,台灣餐廳,160,$$, 10492台北市中山區合江街129號,Plus Code: 3G6Q+8Q 中山區 台北市,1,1,0,1,星期二、11:00 到 20:45; 星期三、11:00 到 20:45; 星期四、11:00 到 20:45; 星期五、11:00 到 20:45; 星期六、11:00 到 20:45; 星期日、11:00 到 20:45; 星期一、11:00 到 20:45. 隱藏本週營業時間,, 02 2506 9466,,2022-11-29
0,https://www.google.com.tw/maps/place/%E5%A4%A7%E5%A7%86%E6%8C%87%E7%BE%8A%E8%82%89%E7%84%BF%E9%BA%B5/data=!4m7!3m6!1s0x3442a960d4fcb7d5:0x26fc96222e4a51ad!8m2!3d25.0543423!4d121.5314109!16s%2Fg%2F12m9lrfl8!19sChIJ1bf81GCpQjQRrVFKLiKW_CY?authuser=0&hl=zh-TW&rclk=1,大姆指羊肉焿麵,3.5,餐廳,81,, 10491台北市中山區一江街58號,Plus Code: 3G3J+PH 中山區 台北市,1,1,0,1,星期二、06:00 到 19:30; 星期三、06:00 到 19:30; 星期四、06:00 到 19:30; 星期五、06:00 到 19:30; 星期六、休息; 星期日、休息; 星期一、06:00 到 19:30. 隱藏本週營業時間,http://facebook.com/thumbbrunch, 02 2581 6542,,2022-11-29
0,https://www.google.com.tw/maps/place/%E6%B9%AF%E5%8C%85%E6%B4%AA+TANG+BAO+HUNG/data=!4m7!3m6!1s0x3442a9ec5e12158f:0x9a4b47006d1ee39f!8m2!3d25.0551371!4d121.5390802!16s%2Fg%2F11mw0kvs24!19sChIJjxUSXuypQjQRn-MebQBHS5o?authuser=0&hl=zh-TW&rclk=1,湯包洪 TANG BAO HUNG,4.8,餐廳,249,, 10491台北市中山區合江街18號,Plus Code: 3G4Q+3J 中山區 台北市,1,1,0,1,星期二、06:00 到 14:00; 星期三、06:00 到 14:00; 星期四、06:00 到 14:00; 星期五、06:00 到 14:00; 星期六、06:00 到 11:00; 星期日、06:00 到 11:00; 星期一、06:00 到 14:00. 隱藏本週營業時間,https://wei046881.pixnet.net/blog/post/405105574, 0918 046 881,,2022-11-29
0,https://www.google.com.tw/maps/place/%E6%99%82%E6%99%82%E8%8B%B1%E9%9B%84+jiji+HERO%2F%E4%B8%AD%E5%B1%B1%E7%BE%8E%E9%A3%9F%2F%E4%B8%AD%E5%B1%B1%E9%A4%90%E5%BB%B3%2F%E4%B8%AD%E5%B1%B1%E4%B8%BC%E9%A3%AF%2F%E4%B8%AD%E5%B1%B1%E6%8B%89%E9%BA%B5%2F%E4%B8%AD%E5%B1%B1%E6%97%A5%E5%BC%8F%2F%E4%B8%AD%E5%B1%B1%E5%92%96%E5%93%A9/data=!4m7!3m6!1s0x3442a9901f7160b3:0xf028da28aba0f176!8m2!3d25.0508468!4d121.525192!16s%2Fg%2F11n_shq7j0!19sChIJs2BxH5CpQjQRdvGgqyjaKPA?authuser=0&hl=zh-TW&rclk=1,時時英雄 jiji HERO/中山美食/中山餐廳/中山丼飯/中山拉麵/中山日式/中山咖哩,4.1,日本餐廳,229,, 104007台北市中山區林森北路123號1樓,Plus Code: 3G2G+83 中山區 台北市,1,1,0,1,星期二、12:00 到 14:00、17:30 到 23:00; 星期三、12:00 到 14:00、17:30 到 23:00; 星期四、12:00 到 14:00、17:30 到 23:00; 星期五、12:00 到 14:00、17:30 到 23:00; 星期六、12:00 到 14:00、17:30 到 23:00; 星期日、12:00 到 14:00、17:30 到 23:00; 星期一、12:00 到 14:00、17:30 到 23:00. 隱藏本週營業時間,https://www.facebook.com/jijihero.tw, 02 2541 0019,,2022-11-29
0,https://www.google.com.tw/maps/place/%E6%96%87%E6%B9%AF%E6%AD%A6%E9%86%AC+%E4%B8%AD%E5%B1%B1%E5%90%88%E6%B1%9F%E5%9F%8E/data=!4m7!3m6!1s0x3442abf5a2114afd:0x8bc98753ad65b87a!8m2!3d25.059203!4d121.5393046!16s%2Fg%2F11q2xrthzn!19sChIJ_UoRovWrQjQRerhlrVOHyYs?authuser=0&hl=zh-TW&rclk=1,文湯武醬 中山合江城,3.7,餐廳,63,, 104台北市中山區合江街85號,Plus Code: 3G5Q+MP 中山區 台北市,1,0,1,0,星期二、11:30 到 22:30; 星期三、11:30 到 22:30; 星期四、11:30 到 22:30; 星期五、11:30 到 23:00; 星期六、11:30 到 22:30; 星期日、休息; 星期一、11:30 到 22:30. 隱藏本週營業時間,, 0900 031 778,,2022-11-29
0,https://www.google.com.tw/maps/place/%E9%9B%AA%E7%90%83%E5%92%96%E5%95%A1%EF%BC%88%E4%B8%80%E6%B1%9F%E5%BA%97%EF%BC%89%E7%B4%94%E6%B7%A8%E5%92%96%E5%95%A1%2F%E6%97%A9%E5%8D%88%E9%A4%90%2F%E9%8D%8B%E7%85%AE%E5%A5%B6%E8%8C%B6%2F%E5%8E%9A%E8%9B%8B%E5%90%90%E5%8F%B8%2F%E7%94%9F%E4%B9%B3%E5%8C%85%2F%E9%9B%AA%E7%90%83%E5%8F%AF%E5%8F%AF/data=!4m7!3m6!1s0x3442a972c497817f:0x4495a50cac8a4b34!8m2!3d25.0544495!4d121.5313741!16s%2Fg%2F11sy_7ckxb!19sChIJf4GXxHKpQjQRNEuKrAyllUQ?authuser=0&hl=zh-TW&rclk=1,雪球咖啡（一江店）純淨咖啡/早午餐/鍋煮奶茶/厚蛋吐司/生乳包/雪球可可,4.9,咖啡店,18,, 104台北市中山區一江街60之1號1樓,Plus Code: 3G3J+QG 中山區 台北市,1,1,0,1,星期二、06:30 到 14:00; 星期三、06:30 到 14:00; 星期四、06:30 到 14:00; 星期五、06:30 到 14:00; 星期六、06:30 到 14:00; 星期日、休息; 星期一、06:30 到 14:00. 隱藏本週營業時間,https://www.facebook.com/profile.php?id=100083160101308, 02 2571 5658,,2022-11-29
0,https://www.google.com.tw/maps/place/%E5%A5%BD%E8%A8%98%E5%B7%9D%E5%91%B3%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m7!3m6!1s0x3442abe248a086e7:0xa95b094b42e62622!8m2!3d25.060407!4d121.539127!16s%2Fg%2F11g_97dw6!19sChIJ54agSOKrQjQRIibmQksJW6k?authuser=0&hl=zh-TW&rclk=1,好記川味牛肉麵,4.0,中式麵食店,113,," 之 1 號, No. 162合江街中山區台北市10491",Plus Code: 3G6Q+5M 中山區 台北市,1,1,0,0,星期二、11:40 到 15:00、17:30 到 21:00; 星期三、11:40 到 15:00、17:30 到 21:00; 星期四、11:40 到 15:00、17:30 到 21:00; 星期五、11:40 到 15:00、17:30 到 21:00; 星期六、12:00 到 20:30; 星期日、休息; 星期一、11:40 到 15:00、17:30 到 21:00. 隱藏本週營業時間,, 02 2502 1648,,2022-11-29
0,https://www.google.com.tw/maps/place/%E4%B8%80%E5%BF%97%E9%9B%9E%E6%8E%92/data=!4m7!3m6!1s0x3442a971441d9f13:0x8ccc36cf1a601ff4!8m2!3d25.0429227!4d121.5223091!16s%2Fg%2F1w0p3b99!19sChIJE58dRHGpQjQR9B9gGs82zIw?authuser=0&hl=zh-TW&rclk=1,一志雞排,4.5,炸物串與串炸餐廳,392,$, 100台北市中正區濟南路一段13巷,Plus Code: 2GVC+5W 中正區 台北市,0,1,0,0,星期二、15:00 到 19:00; 星期三、15:00 到 19:00; 星期四、15:00 到 19:00; 星期五、15:00 到 19:00; 星期六、休息; 星期日、休息; 星期一、15:00 到 19:00. 隱藏本週營業時間,https://www.facebook.com/Unlimitedlegislativedeliciousfood/, 0918 882 453,,2022-11-29
