,google_url,place_name,total_rating,place_category,total_reviews,cost,address,district,eat_in,to_go_1,to_go_2,delivery,opening_hours,website,phone,close,place_acquisition_date,file_name_1,file_name_2
55,https://www.google.com.tw/maps/place/%E7%87%88%E4%BA%AE%E5%AE%A2%E4%BE%86x%E7%B4%85%E7%87%88%E7%B1%A0%E7%89%9B%E8%82%89%E9%BA%B5%E9%A3%9F%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442af0fdf29f54b:0xa7440cb8b672c393!8m2!3d25.139459!4d121.50068!16s%2Fg%2F11qh7gmnbx!19sChIJS_Up3w-vQjQRk8NytrgMRKc?authuser=0&hl=zh-TW&rclk=1,燈亮客來x紅燈籠牛肉麵食餐廳,4.3,小餐館 (Bistro),46.0,, 112台北市北投區永興路一段52號,Plus Code: 4GQ2+Q7 北投區 台北市,1,0,1,0,星期二、12:00 到 00:00; 星期三、12:00 到 00:00; 星期四、12:00 到 00:00; 星期五、12:00 到 00:00; 星期六、12:00 到 00:00; 星期日、12:00 到 00:00; 星期一、休息. 隱藏本週營業時間,, 0958 172 411,,2022-11-22,55,55_燈亮客來
56,https://www.google.com.tw/maps/place/%E5%BF%AB%E5%BF%AB%E4%B8%BC%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x3442afde7a7e7e85:0x3d052d558fe96c6a!8m2!3d25.1239987!4d121.4666449!16s%2Fg%2F11h4v8cp8y!19sChIJhX5-et6vQjQRamzpj1UtBT0?authuser=0&hl=zh-TW&rclk=1,快快丼食堂,4.6,食堂與定食餐廳,142.0,, 112台北市北投區大度路三段296巷17號,Plus Code: 4FF8+HM 北投區 台北市,1,1,0,0,星期二、11:30 到 14:30、17:00 到 20:00; 星期三、11:30 到 14:30、17:00 到 20:00; 星期四、11:30 到 14:30、17:00 到 20:00; 星期五、11:30 到 14:30、17:00 到 20:00; 星期六、休息; 星期日、休息; 星期一、11:30 到 14:30、17:00 到 20:00. 隱藏本週營業時間,https://restaurant-73399.business.site/?utm_source=gmb&utm_medium=referral, 02 2898 2649,,2022-11-22,56,56_快快丼食
177,https://www.google.com.tw/maps/place/%E5%82%B3%E7%B5%B1%E6%97%A5%E6%9C%AC%E7%BE%8E%E9%A3%9FDonChan/data=!4m7!3m6!1s0x3442ae51879d6b83:0x7e927c423eeaeae!8m2!3d25.1355444!4d121.4970809!16s%2Fg%2F11fy4nmfjy!19sChIJg2udh1GuQjQRrq7uI8Qn6Qc?authuser=0&hl=zh-TW&rclk=1,傳統日本美食DonChan,4.4,食堂與定食餐廳,366.0,$$, 112台北市北投區大業路570號,Plus Code: 4FPW+6R 北投區 台北市,1,1,0,0,星期二、休息; 星期三、11:30 到 14:00、17:00 到 21:00; 星期四、11:30 到 14:00、17:00 到 21:00; 星期五、11:30 到 14:00、17:00 到 21:00; 星期六、11:30 到 14:00、17:00 到 21:00; 星期日、11:30 到 14:00、17:00 到 21:00; 星期一、休息. 隱藏本週營業時間,, 02 2892 7200,,2022-11-22,177,177_傳統日本
463,https://www.google.com.tw/maps/place/%E7%BE%8E%E5%A4%A9%E9%A4%90%E5%AE%A4+DAY+DAY/data=!4m7!3m6!1s0x3442a9f449ae1d05:0x8fc6e476c6635be2!8m2!3d25.0574437!4d121.522461!16s%2Fg%2F11h79r8qf0!19sChIJBR2uSfSpQjQR4ltjxnbkxo8?authuser=0&hl=zh-TW&rclk=1,美天餐室 DAY DAY,3.7,小餐館 (Bistro),1737.0,$$, 104台北市中山區中山北路二段84巷6號1樓,Plus Code: 3G4C+XX 中山區 台北市,1,1,0,1,星期二、12:00 到 15:00、17:00 到 20:00; 星期三、12:00 到 15:00、17:00 到 20:00; 星期四、12:00 到 15:00、17:00 到 20:00; 星期五、12:00 到 15:00、17:00 到 20:00; 星期六、12:00 到 15:00、17:00 到 21:00; 星期日、12:00 到 15:00、17:00 到 21:00; 星期一、12:00 到 15:00、17:00 到 20:00. 隱藏本週營業時間,https://www.facebook.com/DAYDAYHAPPYFOOD/, 02 2521 6482,,2022-11-22,463,463_美天餐室
468,https://www.google.com.tw/maps/place/%E9%A6%99%E6%B8%AF%E9%98%BF%E5%BE%B7%E7%87%92%E8%87%98%E5%BF%AB%E9%A4%90/data=!4m7!3m6!1s0x3442ae9083c6693f:0x4f0d2142d883962d!8m2!3d25.1067637!4d121.5253511!16s%2Fg%2F11cmpb2x4y!19sChIJP2nGg5CuQjQRLZaD2EIhDU8?authuser=0&hl=zh-TW&rclk=1,香港阿德燒臘快餐,4.1,葷食餐廳,393.0,$, 111台北市士林區德行東路5號,Plus Code: 4G4G+P4 士林區 台北市,1,1,0,0,星期二、10:30 到 14:00、16:20 到 20:00; 星期三、10:30 到 14:00、16:20 到 20:00; 星期四、10:30 到 14:00、16:20 到 20:00; 星期五、10:30 到 14:00、16:20 到 20:00; 星期六、10:30 到 14:00、16:20 到 20:00; 星期日、休息; 星期一、10:30 到 14:00、16:20 到 20:00. 隱藏本週營業時間,, 02 2838 5479,,2022-11-22,468,468_香港阿德
555,https://www.google.com.tw/maps/place/%E9%85%92%E8%8F%9C%E6%AA%94/data=!4m7!3m6!1s0x3442af59e46123df:0x473606316d231beb!8m2!3d25.1310469!4d121.499878!16s%2Fg%2F11nmftpy6h!19sChIJ3yNh5FmvQjQR6xsjbTEGNkc?authuser=0&hl=zh-TW&rclk=1,酒菜檔,4.8,小餐館 (Bistro),33.0,, 112台北市北投區光明路2巷21號酒菜檔,Plus Code: 4FJX+CX 北投區 台北市,1,1,0,0,星期二、17:30 到 23:00; 星期三、17:30 到 23:00; 星期四、17:30 到 23:00; 星期五、17:30 到 23:00; 星期六、17:30 到 23:00; 星期日、17:30 到 23:00; 星期一、17:30 到 23:00. 隱藏本週營業時間,https://www.facebook.com/zaucoidong, 0900 004 823,,2022-11-22,555,555_酒菜檔
557,https://www.google.com.tw/maps/place/ATRIUM+%E5%BF%83%E6%88%BF%E6%96%99%E7%90%86%E5%BB%9A%E6%88%BF+%E2%99%A5/data=!4m7!3m6!1s0x3442af09e2e13351:0x7a060cd8681e78d3!8m2!3d25.1232651!4d121.5249304!16s%2Fg%2F11l3bdzr4b!19sChIJUTPh4gmvQjQR03geaNgMBno?authuser=0&hl=zh-TW&rclk=1,ATRIUM 心房料理廚房 ♥,4.4,小餐館 (Bistro),65.0,, 112台北市北投區石牌路二段347號,Plus Code: 4GFF+8X 北投區 台北市,1,0,1,1,,https://www.instagram.com/atriumbistro.tw/, 02 2872 2988,,2022-11-22,557,557_ATRI
568,https://www.google.com.tw/maps/place/%E5%8D%88%E5%90%8E%E6%97%A5%E5%85%89+Afternoon+Delight/data=!4m7!3m6!1s0x3442abbd3ad801d1:0xd9420f6a814b9e25!8m2!3d25.044273!4d121.570339!16s%2Fg%2F1q62hl3zg!19sChIJ0QHYOr2rQjQRJZ5LgWoPQtk?authuser=0&hl=zh-TW&rclk=1,午后日光 Afternoon Delight,4.7,小餐館 (Bistro),211.0,$$, 110台北市信義區永吉路120巷45號,Plus Code: 2HVC+P4 信義區 台北市,1,0,0,1,星期二、14:00 到 22:30; 星期三、14:00 到 02:00; 星期四、14:00 到 22:30; 星期五、14:00 到 02:00; 星期六、14:00 到 02:00; 星期日、14:00 到 22:30; 星期一、休息. 隱藏本週營業時間,https://lin.ee/G5nKM2V, 02 2765 8882,,2022-11-22,568,568_午后日光
596,https://www.google.com.tw/maps/place/OZ+Cafe+%26+Bistro/data=!4m7!3m6!1s0x3442ab0b910d6017:0xdd6fb1330a317f45!8m2!3d25.0265671!4d121.5660504!16s%2Fg%2F11f68_4xk2!19sChIJF2ANkQurQjQRRX8xCjOxb90?authuser=0&hl=zh-TW&rclk=1,OZ Cafe & Bistro,4.4,小餐館 (Bistro),1101.0,$$, 110台北市信義區吳興街345號,Plus Code: 2HG8+JC 信義區 台北市,1,1,0,1,,https://www.facebook.com/OZcafebistro/, 02 2723 9120,,2022-11-22,596,596_OZ C
916,https://www.google.com.tw/maps/place/%E5%92%8C%E5%B9%B8%E5%BB%A3%E5%AE%9A%E9%A3%9F/data=!4m7!3m6!1s0x3442ae8c68f9c48d:0x309fbaf3f5ac6ba7!8m2!3d25.1158052!4d121.5179179!16s%2Fg%2F11hd9rdryc!19sChIJjcT5aIyuQjQRp2us9fO6nzA?authuser=0&hl=zh-TW&rclk=1,和幸廣定食,4.2,食堂與定食餐廳,325.0,, 112台北市北投區裕民一路40巷19號1樓,Plus Code: 4G89+85 北投區 台北市,1,1,0,1,星期二、11:30 到 14:00、17:00 到 20:00; 星期三、休息; 星期四、11:30 到 14:00、17:00 到 20:00; 星期五、11:30 到 14:00、17:00 到 20:00; 星期六、11:30 到 14:00、17:00 到 20:00; 星期日、11:30 到 14:00、17:00 到 20:00; 星期一、11:30 到 14:00、17:00 到 20:00. 隱藏本週營業時間,https://www.ubereats.com/tw/store/%E5%92%8C%E5%B9%B8%E5%BB%A3%E5%AE%9A%E9%A3%9F/-NA_HPapWZGZiiHSvKTDKg?diningMode=DELIVERY&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVFOCVBMyU5NSVFNiVCMCU5MSVFNCVCOCU4MCVFOCVCNyVBRjQwJUU1JUI3JUI3MTklRTglOTklOUYlMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKdDlINmFJeXVRalFSc2tmVVBjWWs1V2slMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjUuMTE1OTQzMyUyQyUyMmxvbmdpdHVkZSUyMiUzQTEyMS41MTc4MjY3JTdE&ps=1, 0916 675 182,,2022-11-22,916,916_和幸廣定
